endpoint,endpoint_string,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,ratio_10,ratio,phecode_category
phecode_683-1,Ingrowing nail,158,335,479,539,664,740,914,1170,1450,2101,0.003200518565033322,0.006786184543705054,0.009703624171950651,0.01091910945444969,0.013452188006482983,0.0149931112731988,0.01851964419589488,0.02370820668693009,0.029382560943484164,0.04257690592955863,13.303127310281777,Derm
phecode_015-2,Clostridium difficile,43,62,68,92,101,148,145,149,282,572,8.582320419934934e-4,0.0012375249500998003,0.0013573667085853445,0.001836437311615466,0.002016209526090949,0.002954445642192678,0.0028947893791175885,0.0029747644146302507,0.005630315856726431,0.011421041071820778,13.307637693521778,ID
phecode_526-12,Intestinal infection due to C. difficile,43,62,68,93,100,147,146,149,282,572,8.582320419934934e-4,0.0012375249500998003,0.0013573667085853445,0.001856398586741721,0.001996247055535593,0.002934483171637322,0.002914753443801158,0.0029747644146302507,0.005630315856726431,0.011421041071820778,13.307637693521778,GI
phecode_389-1,Ocular pain,72,129,160,211,202,292,336,426,564,959,0.0014416146083613647,0.0025828928399807783,0.0032036521634663515,0.004225070084100921,0.004045339848600152,0.005847953216374269,0.006729421189665532,0.008532115604157904,0.011296266623938471,0.019208813219829746,13.324513436821901,Eye
phecode_376-1,Vitreous degeneration,222,567,797,1059,1331,1489,1686,1950,2361,2957,0.004467789651633158,0.011411205924971824,0.016041058669618597,0.021314279963771762,0.026788769246251384,0.02997000986252843,0.03393856435444261,0.03925515853044791,0.04753276559763242,0.05953531448820166,13.325451538757894,Eye
phecode_344-12,Obstructive hydrocephalus,3,9,12,16,12,6,15,20,25,40,5.9699116453076497e-5,1.791044776119403e-4,2.3881547524279574e-4,3.184269707644237e-4,2.388392412873435e-4,1.1942675159235669e-4,2.9857876507822763e-4,3.9811294464239507e-4,4.976510868699738e-4,7.963051441312311e-4,13.338642034294208,Neuro
phecode_293-1,Anorexia nervosa,3,5,12,2,7,6,14,9,11,40,5.978239209278227e-5,9.964129135113592e-5,2.3914863087408825e-4,3.986048829098156e-5,1.3951170901843547e-4,1.1958623163853068e-4,2.790512258321706e-4,1.794043774668102e-4,2.1928075911011881e-4,7.974163709580957e-4,13.338649442473054,Mental
phecode_202-2,Type 2 diabetes,813,1344,1841,2256,2617,3026,3689,4730,6299,10845,0.01698456138884827,0.028078972109056723,0.03846475283105595,0.04713846925343196,0.05468260269965314,0.0632313607489134,0.07708542293547309,0.09884437757298394,0.13164054336468128,0.22665524159839492,13.344780380799962,Endo
phecode_715-3,Spondylolisthesis,101,135,125,161,198,260,325,480,655,1349,0.002016169278371095,0.0026949335249730508,0.0024955579069256724,0.003214406931938427,0.003953200495148345,0.005191382305373081,0.0064896166134185305,0.009584664536741214,0.013080379430853719,0.026940666626724983,13.36230390758206,Musc/Skel
phecode_413-42,Pulmonary valve insufficiency*,22,38,31,47,53,64,91,127,156,294,4.3781094527363184e-4,7.562339549045753e-4,6.16952255856071e-4,9.354536950420954e-4,0.0010549153082144065,0.0012738599948249438,0.001811377841474581,0.0025280171984792084,0.003105404598387578,0.005853075851085009,13.368957341682805,Cardio
