endpoint,phecode_string,phecode_category,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events
phecode_324-2,Degenerative diseases of the basal ganglia (excluding parkinsons),Neuro,"0.687 (0.631, 0.738)","0.786 (0.734, 0.823)","0.097 (0.05, 0.152)",0.097,+,116
phecode_324-3,Dystonia,Neuro,"0.609 (0.598, 0.623)","0.734 (0.719, 0.746)","0.125 (0.107, 0.142)",0.125,+,1863
phecode_324-34,Torticollis,Neuro,"0.577 (0.552, 0.601)","0.694 (0.669, 0.714)","0.118 (0.089, 0.139)",0.118,+,678
phecode_324-36,Blepharospasm,Neuro,"0.594 (0.543, 0.635)","0.741 (0.701, 0.799)","0.143 (0.079, 0.215)",0.143,+,119
phecode_324-4,Tremor,Neuro,"0.63 (0.616, 0.64)","0.726 (0.712, 0.74)","0.096 (0.085, 0.109)",0.096,+,2200
phecode_324-41,Essential tremor*,Neuro,"0.728 (0.701, 0.746)","0.763 (0.746, 0.785)","0.034 (0.01, 0.067)",0.034,+,615
phecode_324-5,Myoclonus,Neuro,"0.578 (0.535, 0.616)","0.754 (0.725, 0.784)","0.175 (0.12, 0.248)",0.175,+,250
phecode_324-8,Restless legs syndrome,Neuro,"0.602 (0.586, 0.62)","0.704 (0.691, 0.719)","0.102 (0.078, 0.119)",0.102,+,1636
phecode_325,Symptoms and signs related to movement disorders,Neuro,"0.662 (0.655, 0.668)","0.747 (0.741, 0.754)","0.086 (0.079, 0.093)",0.086,+,7244
phecode_325-1,Abnormal involuntary movements,Neuro,"0.565 (0.544, 0.587)","0.724 (0.696, 0.736)","0.158 (0.136, 0.186)",0.158,+,981
phecode_325-12,Fasciculation*,Neuro,"0.526 (0.503, 0.563)","0.727 (0.696, 0.757)","0.201 (0.159, 0.238)",0.201,+,373
phecode_325-2,Abnormality of gait and mobility,Neuro,"0.679 (0.672, 0.686)","0.765 (0.76, 0.77)","0.085 (0.08, 0.092)",0.085,+,6486
phecode_325-21,Ataxic gait*,Neuro,"0.685 (0.638, 0.734)","0.777 (0.714, 0.82)","0.094 (0.025, 0.157)",0.094,+,129
phecode_325-23,Unsteadiness on feet*,Neuro,"0.737 (0.725, 0.749)","0.822 (0.815, 0.832)","0.085 (0.079, 0.097)",0.085,+,1951
phecode_325-3,Lack of coordination,Neuro,"0.668 (0.647, 0.686)","0.755 (0.733, 0.769)","0.087 (0.075, 0.101)",0.087,+,1185
phecode_326,Demyelinating diseases of the central nervous system,Neuro,"0.587 (0.546, 0.616)","0.662 (0.621, 0.697)","0.075 (0.04, 0.12)",0.075,+,373
