endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
phecode_598,Abnormal findings on radiological and other examination of genitourinary organs,Genitourinary,"0.665 (0.642, 0.69)","0.704 (0.683, 0.727)","0.039 (0.013, 0.058)",+,0.039,"0.639 (0.612, 0.665)","0.755 (0.731, 0.774)","0.116 (0.093, 0.138)",0.116,+,673,UKB: + | AoU: +,++
phecode_599,Other symptoms/disorders or the urinary system,Genitourinary,"0.568 (0.566, 0.571)","0.711 (0.709, 0.713)","0.142 (0.14, 0.145)",+,0.142,"0.543 (0.541, 0.549)","0.558 (0.554, 0.564)","0.015 (0.008, 0.023)",0.015,+,19741,UKB: + | AoU: +,++
phecode_599-7,Urethral discharge,Genitourinary,"0.692 (0.664, 0.717)","0.81 (0.792, 0.83)","0.119 (0.099, 0.148)",+,0.119,"0.872 (0.851, 0.893)","0.634 (0.596, 0.683)","-0.238 (-0.281, -0.168)",-0.238,-,197,UKB: + | AoU: -,+-
phecode_600,Benign prostatic hyperplasia,Genitourinary,"0.656 (0.653, 0.659)","0.693 (0.69, 0.696)","0.037 (0.035, 0.039)",+,0.037,"0.744 (0.737, 0.751)","0.824 (0.819, 0.83)","0.08 (0.076, 0.086)",0.08,+,3412,UKB: + | AoU: +,++
phecode_601,Inflammatory diseases of prostate,Genitourinary,"0.545 (0.533, 0.552)","0.662 (0.652, 0.671)","0.117 (0.108, 0.132)",+,0.117,"0.601 (0.579, 0.637)","0.816 (0.793, 0.838)","0.211 (0.182, 0.251)",0.211,+,420,UKB: + | AoU: +,++
phecode_601-1,Prostatitis,Genitourinary,"0.544 (0.535, 0.552)","0.662 (0.653, 0.672)","0.118 (0.107, 0.13)",+,0.118,"0.601 (0.579, 0.637)","0.816 (0.793, 0.838)","0.211 (0.182, 0.251)",0.211,+,420,UKB: + | AoU: +,++
phecode_601-11,Acute prostatitis,Genitourinary,"0.489 (0.471, 0.51)","0.692 (0.67, 0.706)","0.2 (0.17, 0.226)",+,0.2,"0.599 (0.555, 0.653)","0.814 (0.768, 0.846)","0.21 (0.159, 0.282)",0.21,+,188,UKB: + | AoU: +,++
phecode_601-12,Chronic prostatitis,Genitourinary,"0.558 (0.544, 0.572)","0.639 (0.622, 0.657)","0.081 (0.06, 0.104)",+,0.081,"0.64 (0.599, 0.69)","0.86 (0.822, 0.895)","0.221 (0.165, 0.275)",0.221,+,141,UKB: + | AoU: +,++
phecode_602,Other disorders of prostate,Genitourinary,"0.633 (0.627, 0.639)","0.718 (0.712, 0.722)","0.085 (0.08, 0.09)",+,0.085,"0.748 (0.739, 0.755)","0.811 (0.805, 0.821)","0.063 (0.055, 0.073)",0.063,+,3882,UKB: + | AoU: +,++
phecode_602-4,Elevated prostate specific antigen [PSA],Genitourinary,"0.621 (0.615, 0.626)","0.729 (0.724, 0.732)","0.108 (0.103, 0.112)",+,0.108,"0.735 (0.724, 0.745)","0.853 (0.843, 0.863)","0.117 (0.105, 0.13)",0.117,+,1289,UKB: + | AoU: +,++
