endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
phecode_256-2,Hyposmolality and/or hyponatremia,Metab,"0.589 (0.583, 0.595)","0.629 (0.622, 0.634)","0.039 (0.035, 0.046)",+,0.039,"0.617 (0.61, 0.625)","0.732 (0.726, 0.74)","0.114 (0.105, 0.124)",0.114,+,4707,UKB: + | AoU: +,++
phecode_256-3,Mixed disorder of acid-base balance,Metab,"0.66 (0.649, 0.671)","0.81 (0.803, 0.817)","0.15 (0.139, 0.158)",+,0.15,"0.596 (0.587, 0.607)","0.785 (0.777, 0.791)","0.189 (0.173, 0.199)",0.189,+,4577,UKB: + | AoU: +,++
phecode_256-31,Acidosis,Metab,"0.661 (0.652, 0.672)","0.819 (0.812, 0.826)","0.157 (0.147, 0.166)",+,0.157,"0.595 (0.585, 0.606)","0.787 (0.78, 0.794)","0.192 (0.175, 0.201)",0.192,+,4258,UKB: + | AoU: +,++
phecode_256-32,Alkalosis,Metab,"0.648 (0.626, 0.669)","0.737 (0.709, 0.756)","0.089 (0.061, 0.116)",+,0.089,"0.59 (0.568, 0.621)","0.825 (0.81, 0.839)","0.233 (0.195, 0.262)",0.233,+,656,UKB: + | AoU: +,++
phecode_256-4,Hyperkalemia [Hyperpotassemia],Metab,"0.666 (0.658, 0.674)","0.779 (0.77, 0.786)","0.113 (0.105, 0.125)",+,0.113,"0.649 (0.639, 0.661)","0.802 (0.793, 0.81)","0.153 (0.142, 0.164)",0.153,+,3468,UKB: + | AoU: +,++
phecode_256-5,Hypokalemia [Hypopotassemia],Metab,"0.644 (0.636, 0.65)","0.729 (0.723, 0.737)","0.085 (0.079, 0.093)",+,0.085,"0.546 (0.539, 0.552)","0.685 (0.68, 0.692)","0.14 (0.131, 0.147)",0.14,+,6275,UKB: + | AoU: +,++
phecode_256-6,Fluid overload,Metab,"0.695 (0.684, 0.706)","0.826 (0.815, 0.833)","0.132 (0.118, 0.142)",+,0.132,"0.623 (0.608, 0.638)","0.847 (0.835, 0.859)","0.224 (0.21, 0.237)",0.224,+,1874,UKB: + | AoU: +,++
phecode_256-7,Volume depletion,Metab,"0.665 (0.66, 0.67)","0.762 (0.755, 0.769)","0.098 (0.092, 0.104)",+,0.098,"0.56 (0.552, 0.566)","0.692 (0.683, 0.7)","0.132 (0.126, 0.141)",0.132,+,5962,UKB: + | AoU: +,++
phecode_256-71,Dehydration,Metab,"0.606 (0.584, 0.625)","0.773 (0.751, 0.79)","0.165 (0.138, 0.191)",+,0.165,"0.547 (0.535, 0.554)","0.671 (0.663, 0.68)","0.124 (0.115, 0.138)",0.124,+,5169,UKB: + | AoU: +,++
phecode_280,Substance related disorders,Mental,"0.549 (0.545, 0.554)","0.675 (0.671, 0.678)","0.126 (0.12, 0.13)",+,0.126,"0.614 (0.607, 0.619)","0.548 (0.541, 0.555)","-0.065 (-0.075, -0.056)",-0.065,-,10533,UKB: + | AoU: -,+-
phecode_280-1,Alcohol use disorders,Mental,"0.558 (0.554, 0.561)","0.674 (0.67, 0.677)","0.116 (0.111, 0.12)",+,0.116,"0.636 (0.628, 0.644)","0.607 (0.595, 0.622)","-0.028 (-0.045, -0.017)",-0.028,-,3808,UKB: + | AoU: -,+-
phecode_280-11,Alcohol abuse,Mental,"0.599 (0.594, 0.603)","0.715 (0.709, 0.72)","0.116 (0.109, 0.123)",+,0.116,"0.661 (0.647, 0.669)","0.664 (0.653, 0.679)","0.003 (-0.015, 0.018)",0.003,ns,2649,UKB: + | AoU: ns,+ns
phecode_280-12,Alcohol dependence,Mental,"0.5 (0.493, 0.507)","0.727 (0.72, 0.735)","0.227 (0.218, 0.238)",+,0.227,"0.64 (0.631, 0.65)","0.627 (0.616, 0.644)","-0.011 (-0.025, 0.002)",-0.011,ns,3342,UKB: + | AoU: ns,+ns
phecode_280-13,Alcoholic liver disease,Mental,"0.628 (0.612, 0.641)","0.821 (0.81, 0.831)","0.192 (0.18, 0.207)",+,0.192,"0.64 (0.6, 0.661)","0.858 (0.834, 0.881)","0.217 (0.187, 0.258)",0.217,+,544,UKB: + | AoU: +,++
phecode_280-14,Alcoholic pancreatitis,Mental,"0.7 (0.67, 0.738)","0.837 (0.81, 0.868)","0.134 (0.099, 0.171)",+,0.134,"0.685 (0.637, 0.721)","0.847 (0.812, 0.894)","0.172 (0.116, 0.209)",0.172,+,227,UKB: + | AoU: +,++
phecode_280-2,Opioid related disorders,Mental,"0.607 (0.561, 0.654)","0.819 (0.774, 0.85)","0.211 (0.169, 0.256)",+,0.211,"0.615 (0.599, 0.626)","0.707 (0.694, 0.718)","0.091 (0.074, 0.116)",0.091,+,2976,UKB: + | AoU: +,++
phecode_280-22,Opioid dependence,Mental,"0.645 (0.594, 0.703)","0.857 (0.824, 0.89)","0.216 (0.147, 0.265)",+,0.216,"0.606 (0.593, 0.623)","0.75 (0.737, 0.768)","0.145 (0.116, 0.168)",0.145,+,2016,UKB: + | AoU: +,++
phecode_280-3,Cannabis related disorders,Mental,"0.749 (0.723, 0.777)","0.894 (0.874, 0.911)","0.144 (0.115, 0.172)",+,0.144,"0.674 (0.665, 0.688)","0.747 (0.737, 0.758)","0.072 (0.056, 0.088)",0.072,+,3123,UKB: + | AoU: +,++
phecode_280-31,Cannabis abuse,Mental,"0.748 (0.717, 0.782)","0.887 (0.863, 0.916)","0.14 (0.099, 0.183)",+,0.14,"0.7 (0.679, 0.718)","0.788 (0.775, 0.801)","0.088 (0.066, 0.107)",0.088,+,1284,UKB: + | AoU: +,++
phecode_280-4,"Sedative, hypnotic, or anxiolytic related disorders",Mental,"0.501 (0.458, 0.533)","0.889 (0.875, 0.908)","0.386 (0.357, 0.426)",+,0.386,"0.611 (0.581, 0.65)","0.773 (0.739, 0.798)","0.163 (0.103, 0.217)",0.163,+,443,UKB: + | AoU: +,++
phecode_280-42,"Sedative, hypnotic or anxiolytic-related dependence",Mental,"0.504 (0.464, 0.545)","0.89 (0.868, 0.907)","0.387 (0.329, 0.426)",+,0.387,"0.599 (0.563, 0.645)","0.794 (0.757, 0.834)","0.193 (0.113, 0.243)",0.193,+,272,UKB: + | AoU: +,++
phecode_280-8,Other psychoactive substance related disorders,Mental,"0.579 (0.559, 0.604)","0.771 (0.758, 0.79)","0.191 (0.164, 0.213)",+,0.191,"0.619 (0.615, 0.625)","0.548 (0.539, 0.553)","-0.073 (-0.085, -0.064)",-0.073,-,9327,UKB: + | AoU: -,+-
phecode_280-81,Other psychoactive substance abuse,Mental,"0.637 (0.588, 0.684)","0.77 (0.719, 0.812)","0.132 (0.085, 0.175)",+,0.132,"0.673 (0.664, 0.68)","0.648 (0.64, 0.658)","-0.024 (-0.037, -0.011)",-0.024,-,4874,UKB: + | AoU: -,+-
phecode_280-82,Other psychoactive substance dependence,Mental,"0.569 (0.54, 0.601)","0.771 (0.752, 0.797)","0.203 (0.165, 0.231)",+,0.203,"0.617 (0.61, 0.624)","0.56 (0.55, 0.566)","-0.057 (-0.07, -0.048)",-0.057,-,9153,UKB: + | AoU: -,+-
phecode_281,"Substance abuse, dependence, and withdrawl",Mental,"0.535 (0.533, 0.538)","0.68 (0.677, 0.684)","0.145 (0.141, 0.148)",+,0.145,"0.614 (0.608, 0.621)","0.557 (0.549, 0.563)","-0.057 (-0.07, -0.048)",-0.057,-,9856,UKB: + | AoU: -,+-
phecode_281-1,Substance abuse,Mental,"0.612 (0.608, 0.617)","0.716 (0.711, 0.72)","0.104 (0.099, 0.108)",+,0.104,"0.671 (0.663, 0.678)","0.634 (0.625, 0.641)","-0.037 (-0.05, -0.026)",-0.037,-,5079,UKB: + | AoU: -,+-
phecode_281-2,Substance dependence,Mental,"0.521 (0.516, 0.525)","0.69 (0.685, 0.693)","0.169 (0.164, 0.172)",+,0.169,"0.611 (0.605, 0.619)","0.578 (0.57, 0.584)","-0.032 (-0.045, -0.023)",-0.032,-,9544,UKB: + | AoU: -,+-
phecode_281-21,Substance withdrawal,Mental,"0.592 (0.561, 0.625)","0.849 (0.831, 0.869)","0.256 (0.227, 0.288)",+,0.256,"0.655 (0.639, 0.683)","0.744 (0.721, 0.765)","0.088 (0.047, 0.111)",0.088,+,993,UKB: + | AoU: +,++
phecode_282-1,Current tobacco use and nicotine dependence,Mental,"0.552 (0.548, 0.556)","0.671 (0.667, 0.674)","0.119 (0.114, 0.123)",+,0.119,"0.62 (0.613, 0.627)","0.635 (0.628, 0.642)","0.015 (0.006, 0.026)",0.015,+,7490,UKB: + | AoU: +,++
phecode_283,Other behavioral problems,Mental,"0.471 (0.469, 0.473)","0.677 (0.675, 0.679)","0.206 (0.203, 0.208)",+,0.206,"0.563 (0.554, 0.572)","0.609 (0.601, 0.615)","0.046 (0.029, 0.057)",0.046,+,6954,UKB: + | AoU: +,++
phecode_283-3,High risk sexual behavior,Mental,"0.763 (0.733, 0.795)","0.797 (0.768, 0.832)","0.035 (0.012, 0.052)",+,0.035,"0.743 (0.711, 0.763)","0.735 (0.68, 0.765)","-0.007 (-0.054, 0.031)",-0.007,ns,566,UKB: + | AoU: ns,+ns
phecode_283-4,Patient's noncompliance with medical treatment and regimen,Mental,"0.461 (0.457, 0.467)","0.736 (0.732, 0.739)","0.275 (0.269, 0.28)",+,0.275,"0.579 (0.564, 0.588)","0.712 (0.702, 0.724)","0.134 (0.116, 0.155)",0.134,+,3857,UKB: + | AoU: +,++
phecode_283-8,Other problems related to lifestyle,Mental,"0.474 (0.472, 0.476)","0.668 (0.666, 0.67)","0.194 (0.192, 0.197)",+,0.194,"0.565 (0.55, 0.584)","0.427 (0.408, 0.449)","-0.138 (-0.172, -0.101)",-0.138,-,1553,UKB: + | AoU: -,+-
phecode_284,Suicide ideation and attempt or self harm,Mental,"0.601 (0.594, 0.613)","0.826 (0.819, 0.833)","0.224 (0.213, 0.235)",+,0.224,"0.663 (0.649, 0.678)","0.732 (0.718, 0.747)","0.07 (0.051, 0.09)",0.07,+,2265,UKB: + | AoU: +,++
phecode_284-1,Suicidal ideations,Mental,"0.616 (0.605, 0.626)","0.845 (0.839, 0.852)","0.229 (0.219, 0.24)",+,0.229,"0.664 (0.648, 0.683)","0.703 (0.685, 0.724)","0.04 (0.017, 0.059)",0.04,+,1970,UKB: + | AoU: +,++
phecode_284-2,Suicide and self-inflicted harm,Mental,"0.592 (0.577, 0.609)","0.855 (0.842, 0.864)","0.263 (0.245, 0.277)",+,0.263,"0.679 (0.662, 0.698)","0.838 (0.82, 0.85)","0.158 (0.137, 0.18)",0.158,+,966,UKB: + | AoU: +,++
phecode_284-29,Intentional self-harm*,Mental,"0.592 (0.575, 0.606)","0.858 (0.846, 0.871)","0.266 (0.249, 0.284)",+,0.266,"0.68 (0.66, 0.698)","0.837 (0.818, 0.849)","0.156 (0.137, 0.181)",0.156,+,961,UKB: + | AoU: +,++
phecode_286,Mood [affective] disorders,Mental,"0.569 (0.566, 0.572)","0.716 (0.714, 0.718)","0.147 (0.144, 0.15)",+,0.147,"0.56 (0.553, 0.567)","0.614 (0.608, 0.619)","0.055 (0.047, 0.062)",0.055,+,11890,UKB: + | AoU: +,++
phecode_286-1,Bipolar disorder,Mental,"0.521 (0.495, 0.537)","0.841 (0.828, 0.856)","0.32 (0.305, 0.342)",+,0.32,"0.639 (0.628, 0.648)","0.675 (0.662, 0.69)","0.036 (0.019, 0.055)",0.036,+,2236,UKB: + | AoU: +,++
phecode_286-2,Major depressive disorder,Mental,"0.569 (0.566, 0.573)","0.718 (0.716, 0.721)","0.149 (0.145, 0.152)",+,0.149,"0.558 (0.552, 0.563)","0.629 (0.622, 0.635)","0.072 (0.062, 0.08)",0.072,+,11136,UKB: + | AoU: +,++
phecode_286-21,"Major depressive disorder, recurrent",Mental,"0.577 (0.562, 0.587)","0.815 (0.806, 0.826)","0.238 (0.224, 0.251)",+,0.238,"0.559 (0.545, 0.565)","0.723 (0.717, 0.732)","0.164 (0.156, 0.18)",0.164,+,5654,UKB: + | AoU: +,++
phecode_286-3,Premenstrual dysphoric disorder,Mental,"0.902 (0.893, 0.909)","0.922 (0.915, 0.929)","0.02 (0.015, 0.026)",+,0.02,"0.757 (0.742, 0.778)","0.847 (0.83, 0.861)","0.089 (0.073, 0.107)",0.089,+,272,UKB: + | AoU: +,++
phecode_286-4,Dysthymic disorder,Mental,"0.581 (0.553, 0.606)","0.808 (0.79, 0.828)","0.228 (0.199, 0.251)",+,0.228,"0.546 (0.532, 0.568)","0.686 (0.672, 0.703)","0.138 (0.104, 0.163)",0.138,+,1199,UKB: + | AoU: +,++
phecode_287,Psychotic disorder,Mental,"0.469 (0.459, 0.484)","0.747 (0.732, 0.76)","0.277 (0.258, 0.291)",+,0.277,"0.634 (0.619, 0.648)","0.698 (0.679, 0.714)","0.064 (0.039, 0.086)",0.064,+,1836,UKB: + | AoU: +,++
phecode_287-1,Schizophrenia,Mental,"0.553 (0.525, 0.584)","0.876 (0.86, 0.895)","0.325 (0.297, 0.361)",+,0.325,"0.686 (0.666, 0.709)","0.766 (0.748, 0.78)","0.079 (0.052, 0.11)",0.079,+,794,UKB: + | AoU: +,++
phecode_287-2,Schizoaffective disorder,Mental,"0.56 (0.515, 0.609)","0.907 (0.87, 0.938)","0.348 (0.293, 0.407)",+,0.348,"0.659 (0.638, 0.69)","0.776 (0.749, 0.793)","0.114 (0.092, 0.141)",0.114,+,670,UKB: + | AoU: +,++
phecode_287-4,Delusional disorders,Mental,"0.46 (0.438, 0.478)","0.754 (0.722, 0.777)","0.292 (0.264, 0.326)",+,0.292,"0.601 (0.586, 0.627)","0.764 (0.735, 0.787)","0.163 (0.126, 0.195)",0.163,+,497,UKB: + | AoU: +,++
phecode_287-5,Drug-induced psychotic disorder,Mental,"0.553 (0.521, 0.592)","0.762 (0.724, 0.8)","0.206 (0.149, 0.254)",+,0.206,"0.658 (0.62, 0.691)","0.745 (0.717, 0.801)","0.088 (0.046, 0.147)",0.088,+,321,UKB: + | AoU: +,++
phecode_288,Anxiety disorders,Mental,"0.58 (0.576, 0.583)","0.711 (0.708, 0.714)","0.131 (0.128, 0.134)",+,0.131,"0.575 (0.571, 0.581)","0.624 (0.616, 0.631)","0.048 (0.04, 0.058)",0.048,+,15085,UKB: + | AoU: +,++
phecode_288-2,Panic disorder [episodic paroxysmal anxiety],Mental,"0.571 (0.562, 0.579)","0.745 (0.738, 0.754)","0.176 (0.163, 0.187)",+,0.176,"0.619 (0.606, 0.634)","0.709 (0.691, 0.722)","0.09 (0.063, 0.109)",0.09,+,2027,UKB: + | AoU: +,++
phecode_288-3,Generalized anxiety disorder,Mental,"0.577 (0.572, 0.583)","0.761 (0.754, 0.766)","0.184 (0.178, 0.192)",+,0.184,"0.593 (0.587, 0.602)","0.653 (0.646, 0.666)","0.06 (0.048, 0.07)",0.06,+,6009,UKB: + | AoU: +,++
phecode_288-4,Phobic disorders,Mental,"0.587 (0.58, 0.594)","0.727 (0.719, 0.733)","0.14 (0.13, 0.15)",+,0.14,"0.537 (0.516, 0.555)","0.686 (0.66, 0.699)","0.15 (0.112, 0.172)",0.15,+,1108,UKB: + | AoU: +,++
phecode_288-41,Agoraphobia,Mental,"0.631 (0.591, 0.676)","0.813 (0.773, 0.849)","0.181 (0.132, 0.226)",+,0.181,"0.628 (0.587, 0.671)","0.787 (0.743, 0.828)","0.158 (0.116, 0.21)",0.158,+,159,UKB: + | AoU: +,++
phecode_289,Obsessive-compulsive disorder,Mental,"0.587 (0.552, 0.623)","0.768 (0.75, 0.79)","0.181 (0.147, 0.206)",+,0.181,"0.638 (0.607, 0.681)","0.731 (0.698, 0.762)","0.093 (0.037, 0.136)",0.093,+,368,UKB: + | AoU: +,++
phecode_290,"Reaction to severe stress, and adjustment disorders",Mental,"0.652 (0.648, 0.657)","0.754 (0.751, 0.758)","0.102 (0.099, 0.106)",+,0.102,"0.554 (0.55, 0.561)","0.645 (0.635, 0.651)","0.089 (0.077, 0.098)",0.089,+,7404,UKB: + | AoU: +,++
phecode_290-1,Posttraumatic stress disorder,Mental,"0.656 (0.639, 0.675)","0.783 (0.762, 0.798)","0.126 (0.109, 0.147)",+,0.126,"0.627 (0.618, 0.635)","0.732 (0.721, 0.746)","0.104 (0.089, 0.118)",0.104,+,2773,UKB: + | AoU: +,++
phecode_291,"Dissociative, conversion and factitious disorders",Mental,"0.511 (0.488, 0.54)","0.776 (0.758, 0.8)","0.265 (0.237, 0.293)",+,0.265,"0.586 (0.55, 0.617)","0.773 (0.742, 0.789)","0.187 (0.153, 0.213)",0.187,+,584,UKB: + | AoU: +,++
phecode_292,Somatoform disorders,Mental,"0.566 (0.546, 0.578)","0.71 (0.696, 0.724)","0.145 (0.126, 0.165)",+,0.145,"0.553 (0.54, 0.57)","0.732 (0.716, 0.747)","0.18 (0.158, 0.196)",0.18,+,1579,UKB: + | AoU: +,++
phecode_293,Eating disorders,Mental,"0.626 (0.597, 0.655)","0.761 (0.736, 0.784)","0.135 (0.102, 0.17)",+,0.135,"0.607 (0.587, 0.624)","0.683 (0.664, 0.704)","0.079 (0.046, 0.106)",0.079,+,979,UKB: + | AoU: +,++
phecode_293-4,Polyphagia,Mental,"0.606 (0.566, 0.638)","0.813 (0.787, 0.852)","0.206 (0.162, 0.253)",+,0.206,"0.58 (0.525, 0.632)","0.715 (0.667, 0.767)","0.131 (0.054, 0.221)",0.131,+,141,UKB: + | AoU: +,++
phecode_294,Sexual dysfunction and disorders,Mental,"0.778 (0.775, 0.78)","0.856 (0.854, 0.858)","0.078 (0.077, 0.08)",+,0.078,"0.66 (0.649, 0.67)","0.693 (0.681, 0.702)","0.033 (0.027, 0.042)",0.033,+,3844,UKB: + | AoU: +,++
phecode_296,Specific personality disorders,Mental,"0.656 (0.631, 0.68)","0.893 (0.877, 0.908)","0.237 (0.214, 0.267)",+,0.237,"0.647 (0.627, 0.671)","0.767 (0.749, 0.784)","0.119 (0.094, 0.15)",0.119,+,1018,UKB: + | AoU: +,++
phecode_296-4,Borderline personality disorder,Mental,"0.746 (0.723, 0.773)","0.93 (0.911, 0.956)","0.184 (0.158, 0.205)",+,0.184,"0.709 (0.684, 0.738)","0.811 (0.782, 0.825)","0.1 (0.065, 0.136)",0.1,+,514,UKB: + | AoU: +,++
phecode_299,"Mental disorder, not otherwise specified",Mental,"0.533 (0.519, 0.548)","0.753 (0.74, 0.763)","0.219 (0.203, 0.235)",+,0.219,"0.552 (0.549, 0.557)","0.534 (0.529, 0.541)","-0.018 (-0.027, -0.01)",-0.018,-,18180,UKB: + | AoU: -,+-
phecode_308,Signs and symptoms involving emotional state,Mental,"0.564 (0.561, 0.566)","0.745 (0.743, 0.748)","0.182 (0.179, 0.186)",+,0.182,"0.597 (0.588, 0.608)","0.651 (0.639, 0.664)","0.053 (0.034, 0.069)",0.053,+,3592,UKB: + | AoU: +,++
phecode_308-1,Irritability,Mental,"0.624 (0.607, 0.642)","0.771 (0.752, 0.782)","0.146 (0.13, 0.164)",+,0.146,"0.587 (0.559, 0.611)","0.678 (0.64, 0.714)","0.089 (0.057, 0.14)",0.089,+,316,UKB: + | AoU: +,++
phecode_308-3,Emotional lability,Mental,"0.694 (0.672, 0.708)","0.817 (0.805, 0.828)","0.123 (0.104, 0.142)",+,0.123,"0.548 (0.52, 0.59)","0.677 (0.645, 0.709)","0.128 (0.075, 0.163)",0.128,+,327,UKB: + | AoU: +,++
phecode_308-7,Restlessness and agitation*,Mental,"0.586 (0.571, 0.605)","0.719 (0.707, 0.736)","0.133 (0.121, 0.155)",+,0.133,"0.615 (0.591, 0.633)","0.711 (0.69, 0.735)","0.093 (0.065, 0.141)",0.093,+,819,UKB: + | AoU: +,++
phecode_320,Meningitis,Neuro,"0.537 (0.514, 0.56)","0.656 (0.626, 0.68)","0.121 (0.083, 0.151)",+,0.121,"0.529 (0.49, 0.553)","0.705 (0.663, 0.746)","0.18 (0.128, 0.223)",0.18,+,225,UKB: + | AoU: +,++
phecode_320-3,Meningitis NOS,Neuro,"0.526 (0.48, 0.571)","0.695 (0.646, 0.728)","0.168 (0.099, 0.22)",+,0.168,"0.53 (0.489, 0.557)","0.702 (0.657, 0.736)","0.174 (0.116, 0.21)",0.174,+,221,UKB: + | AoU: +,++
phecode_321,"Encephalitis, myelitis and encephalomyelitis",Neuro,"0.52 (0.485, 0.546)","0.619 (0.595, 0.645)","0.102 (0.062, 0.134)",+,0.102,"0.534 (0.507, 0.633)","0.71 (0.66, 0.767)","0.171 (0.09, 0.251)",0.171,+,156,UKB: + | AoU: +,++
phecode_322,Other CNS infection,Neuro,"0.627 (0.606, 0.651)","0.744 (0.72, 0.771)","0.119 (0.089, 0.143)",+,0.119,"0.582 (0.521, 0.637)","0.647 (0.596, 0.692)","0.071 (0.002, 0.147)",0.071,+,140,UKB: + | AoU: +,++
phecode_323,Systemic atrophies primarily affecting the central nervous system,Neuro,"0.632 (0.618, 0.65)","0.716 (0.701, 0.733)","0.083 (0.068, 0.106)",+,0.083,"0.683 (0.644, 0.719)","0.741 (0.706, 0.782)","0.06 (0.012, 0.097)",0.06,+,188,UKB: + | AoU: +,++
phecode_323-3,Motor neuron disease,Neuro,"0.661 (0.644, 0.675)","0.76 (0.745, 0.783)","0.1 (0.075, 0.12)",+,0.1,"0.69 (0.632, 0.748)","0.711 (0.649, 0.772)","0.025 (-0.017, 0.066)",0.025,ns,113,UKB: + | AoU: ns,+ns
phecode_324,Extrapyramidal and movement disorders,Neuro,"0.593 (0.589, 0.597)","0.688 (0.683, 0.691)","0.095 (0.09, 0.098)",+,0.095,"0.605 (0.598, 0.612)","0.704 (0.695, 0.709)","0.098 (0.089, 0.109)",0.098,+,5536,UKB: + | AoU: +,++
phecode_324-1,Parkinsonism,Neuro,"0.736 (0.728, 0.746)","0.732 (0.723, 0.74)","-0.004 (-0.008, 0.002)",ns,-0.004,"0.774 (0.756, 0.794)","0.825 (0.806, 0.851)","0.05 (0.036, 0.065)",0.05,+,526,UKB: ns | AoU: +,ns+
phecode_324-11,Parkinson's disease (Primary),Neuro,"0.738 (0.73, 0.742)","0.731 (0.724, 0.74)","-0.006 (-0.013, 0)",ns,-0.006,"0.817 (0.798, 0.835)","0.852 (0.835, 0.877)","0.035 (0.021, 0.05)",0.035,+,453,UKB: ns | AoU: +,ns+
phecode_324-12,Secondary parkinsonism,Neuro,"0.702 (0.667, 0.737)","0.817 (0.786, 0.844)","0.114 (0.081, 0.144)",+,0.114,"0.634 (0.557, 0.73)","0.816 (0.757, 0.867)","0.183 (0.136, 0.234)",0.183,+,124,UKB: + | AoU: +,++
phecode_324-2,Degenerative diseases of the basal ganglia (excluding parkinsons),Neuro,"0.718 (0.697, 0.747)","0.703 (0.681, 0.739)","-0.012 (-0.032, 0.008)",ns,-0.012,"0.687 (0.631, 0.738)","0.786 (0.734, 0.823)","0.097 (0.05, 0.152)",0.097,+,116,UKB: ns | AoU: +,ns+
phecode_324-3,Dystonia,Neuro,"0.538 (0.531, 0.546)","0.706 (0.697, 0.711)","0.167 (0.16, 0.176)",+,0.167,"0.609 (0.598, 0.623)","0.734 (0.719, 0.746)","0.125 (0.107, 0.142)",0.125,+,1863,UKB: + | AoU: +,++
phecode_324-34,Torticollis,Neuro,"0.512 (0.504, 0.524)","0.714 (0.707, 0.723)","0.201 (0.193, 0.212)",+,0.201,"0.577 (0.552, 0.601)","0.694 (0.669, 0.714)","0.118 (0.089, 0.139)",0.118,+,678,UKB: + | AoU: +,++
phecode_324-36,Blepharospasm,Neuro,"0.55 (0.523, 0.578)","0.699 (0.67, 0.727)","0.151 (0.117, 0.189)",+,0.151,"0.594 (0.543, 0.635)","0.741 (0.701, 0.799)","0.143 (0.079, 0.215)",0.143,+,119,UKB: + | AoU: +,++
phecode_324-4,Tremor,Neuro,"0.626 (0.62, 0.634)","0.73 (0.725, 0.736)","0.105 (0.098, 0.11)",+,0.105,"0.63 (0.616, 0.64)","0.726 (0.712, 0.74)","0.096 (0.085, 0.109)",0.096,+,2200,UKB: + | AoU: +,++
phecode_324-41,Essential tremor*,Neuro,"0.654 (0.643, 0.663)","0.734 (0.725, 0.742)","0.08 (0.07, 0.092)",+,0.08,"0.728 (0.701, 0.746)","0.763 (0.746, 0.785)","0.034 (0.01, 0.067)",0.034,+,615,UKB: + | AoU: +,++
phecode_324-5,Myoclonus,Neuro,"0.552 (0.522, 0.579)","0.699 (0.665, 0.734)","0.149 (0.111, 0.188)",+,0.149,"0.578 (0.535, 0.616)","0.754 (0.725, 0.784)","0.175 (0.12, 0.248)",0.175,+,250,UKB: + | AoU: +,++
phecode_324-8,Restless legs syndrome,Neuro,"0.6 (0.591, 0.609)","0.76 (0.751, 0.766)","0.159 (0.152, 0.168)",+,0.159,"0.602 (0.586, 0.62)","0.704 (0.691, 0.719)","0.102 (0.078, 0.119)",0.102,+,1636,UKB: + | AoU: +,++
phecode_325,Symptoms and signs related to movement disorders,Neuro,"0.644 (0.641, 0.648)","0.731 (0.727, 0.735)","0.087 (0.082, 0.091)",+,0.087,"0.662 (0.655, 0.668)","0.747 (0.741, 0.754)","0.086 (0.079, 0.093)",0.086,+,7244,UKB: + | AoU: +,++
phecode_325-1,Abnormal involuntary movements,Neuro,"0.48 (0.464, 0.497)","0.672 (0.653, 0.693)","0.193 (0.165, 0.217)",+,0.193,"0.565 (0.544, 0.587)","0.724 (0.696, 0.736)","0.158 (0.136, 0.186)",0.158,+,981,UKB: + | AoU: +,++
phecode_325-12,Fasciculation*,Neuro,"0.485 (0.465, 0.516)","0.663 (0.641, 0.683)","0.175 (0.146, 0.203)",+,0.175,"0.526 (0.503, 0.563)","0.727 (0.696, 0.757)","0.201 (0.159, 0.238)",0.201,+,373,UKB: + | AoU: +,++
phecode_325-2,Abnormality of gait and mobility,Neuro,"0.657 (0.652, 0.661)","0.744 (0.74, 0.749)","0.087 (0.082, 0.091)",+,0.087,"0.679 (0.672, 0.686)","0.765 (0.76, 0.77)","0.085 (0.08, 0.092)",0.085,+,6486,UKB: + | AoU: +,++
phecode_325-21,Ataxic gait*,Neuro,"0.627 (0.595, 0.658)","0.748 (0.72, 0.781)","0.122 (0.071, 0.163)",+,0.122,"0.685 (0.638, 0.734)","0.777 (0.714, 0.82)","0.094 (0.025, 0.157)",0.094,+,129,UKB: + | AoU: +,++
phecode_325-23,Unsteadiness on feet*,Neuro,"0.659 (0.649, 0.668)","0.792 (0.784, 0.803)","0.134 (0.125, 0.143)",+,0.134,"0.737 (0.725, 0.749)","0.822 (0.815, 0.832)","0.085 (0.079, 0.097)",0.085,+,1951,UKB: + | AoU: +,++
phecode_325-3,Lack of coordination,Neuro,"0.617 (0.607, 0.628)","0.733 (0.724, 0.743)","0.116 (0.105, 0.123)",+,0.116,"0.668 (0.647, 0.686)","0.755 (0.733, 0.769)","0.087 (0.075, 0.101)",0.087,+,1185,UKB: + | AoU: +,++
phecode_326,Demyelinating diseases of the central nervous system,Neuro,"0.611 (0.592, 0.631)","0.683 (0.668, 0.712)","0.073 (0.054, 0.099)",+,0.073,"0.587 (0.546, 0.616)","0.662 (0.621, 0.697)","0.075 (0.04, 0.12)",0.075,+,373,UKB: + | AoU: +,++
phecode_326-1,Multiple sclerosis,Neuro,"0.634 (0.61, 0.654)","0.72 (0.702, 0.737)","0.085 (0.058, 0.11)",+,0.085,"0.622 (0.587, 0.655)","0.707 (0.656, 0.744)","0.081 (0.037, 0.135)",0.081,+,254,UKB: + | AoU: +,++
