phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+MedicalHistory,delta
Genitourinary,phecode_622-2,Mucous polyp of cervix,"0.516 (0.494, 0.538)","0.704 (0.677, 0.731)","0.187 (0.161, 0.222)"
Genitourinary,phecode_623,Hypertrophy of female genital organs,"0.525 (0.512, 0.541)","0.732 (0.72, 0.748)","0.208 (0.184, 0.23)"
Genitourinary,phecode_624,Symptoms involving female genital tract,"0.68 (0.657, 0.707)","0.819 (0.801, 0.836)","0.137 (0.114, 0.165)"
Genitourinary,phecode_624-1,Dystrophy of female genital tract,"0.682 (0.652, 0.718)","0.83 (0.805, 0.851)","0.142 (0.117, 0.182)"
Genitourinary,phecode_624-2,Atrophy of female genital tract,"0.722 (0.69, 0.758)","0.824 (0.797, 0.852)","0.101 (0.06, 0.139)"
Genitourinary,phecode_625,Pain and other symptoms associated with female genital organs,"0.614 (0.609, 0.619)","0.71 (0.704, 0.715)","0.095 (0.09, 0.102)"
Genitourinary,phecode_625-1,Dyspareunia,"0.637 (0.623, 0.656)","0.796 (0.783, 0.807)","0.158 (0.138, 0.173)"
Genitourinary,phecode_625-3,Vulvodynia,"0.582 (0.523, 0.639)","0.768 (0.708, 0.812)","0.179 (0.123, 0.263)"
Genitourinary,phecode_626,Disorders of menstruation and other abnormal bleeding from female genital tract,"0.702 (0.695, 0.707)","0.775 (0.769, 0.78)","0.073 (0.07, 0.075)"
Genitourinary,phecode_626-1,Irregular menstrual cycle/bleeding,"0.779 (0.775, 0.783)","0.825 (0.821, 0.83)","0.046 (0.044, 0.049)"
Genitourinary,phecode_626-11,Absent or infrequent menstruation,"0.797 (0.79, 0.806)","0.855 (0.847, 0.864)","0.058 (0.051, 0.063)"
Genitourinary,phecode_626-13,Irregular menstrual cycle,"0.773 (0.769, 0.777)","0.822 (0.817, 0.826)","0.049 (0.047, 0.051)"
Genitourinary,phecode_626-14,Irregular menstrual bleeding,"0.765 (0.741, 0.784)","0.839 (0.816, 0.852)","0.074 (0.065, 0.085)"
Genitourinary,phecode_626-2,Dysmenorrhea,"0.784 (0.776, 0.791)","0.839 (0.833, 0.847)","0.056 (0.051, 0.06)"
Genitourinary,phecode_627,Menopausal and postmenopausal disorders,"0.628 (0.624, 0.633)","0.607 (0.601, 0.612)","-0.022 (-0.032, -0.012)"
Genitourinary,phecode_627-1,Postmenopausal bleeding,"0.65 (0.642, 0.66)","0.697 (0.685, 0.708)","0.046 (0.03, 0.062)"
Genitourinary,phecode_627-2,Symptomatic menopause,"0.714 (0.709, 0.718)","0.49 (0.485, 0.496)","-0.223 (-0.233, -0.214)"
Genitourinary,phecode_627-3,Postmenopausal atrophic vaginitis,"0.719 (0.712, 0.726)","0.763 (0.751, 0.772)","0.044 (0.029, 0.056)"
Genitourinary,phecode_627-4,Menorrhagia/Excessive and frequent menstruation,"0.724 (0.717, 0.73)","0.782 (0.775, 0.788)","0.058 (0.056, 0.061)"
Genitourinary,phecode_628,Ovarian cyst,"0.702 (0.694, 0.71)","0.726 (0.715, 0.734)","0.024 (0.013, 0.034)"
Genitourinary,phecode_628-1,Follicular cyst of ovary,"0.707 (0.677, 0.735)","0.827 (0.789, 0.852)","0.123 (0.09, 0.144)"
Genitourinary,phecode_628-2,Corpus luteum cyst or hematoma,"0.702 (0.694, 0.71)","0.726 (0.714, 0.734)","0.024 (0.013, 0.033)"
Genitourinary,phecode_628-3,polycystic ovary syndrome,"0.817 (0.803, 0.828)","0.734 (0.72, 0.752)","-0.085 (-0.102, -0.061)"
Genitourinary,phecode_629,Female infertility,"0.803 (0.795, 0.813)","0.855 (0.842, 0.863)","0.05 (0.042, 0.057)"
Derm,phecode_660,Infection of the skin,"0.511 (0.507, 0.515)","0.613 (0.609, 0.617)","0.102 (0.097, 0.106)"
Derm,phecode_660-1,Fungal infection of the skin,"0.585 (0.579, 0.589)","0.675 (0.67, 0.683)","0.091 (0.084, 0.098)"
Derm,phecode_660-11,Candidiasis of skin and nails,"0.619 (0.588, 0.659)","0.718 (0.682, 0.774)","0.096 (0.033, 0.166)"
Derm,phecode_660-12,Dermatophytosis,"0.601 (0.594, 0.606)","0.679 (0.674, 0.687)","0.078 (0.071, 0.086)"
Derm,phecode_660-13,Pityriasis versicolor,"0.653 (0.629, 0.683)","0.656 (0.631, 0.686)","0.003 (-0.033, 0.043)"
Derm,phecode_660-2,Bacterial infection of the skin,"0.517 (0.502, 0.533)","0.66 (0.636, 0.682)","0.144 (0.109, 0.172)"
Derm,phecode_660-21,Impetigo,"0.522 (0.503, 0.543)","0.661 (0.633, 0.686)","0.14 (0.097, 0.174)"
Derm,phecode_660-4,Carbuncle and furuncle,"0.547 (0.528, 0.566)","0.725 (0.706, 0.743)","0.177 (0.151, 0.2)"
Derm,phecode_660-6,Cellulitis and abscess,"0.538 (0.534, 0.542)","0.635 (0.631, 0.638)","0.096 (0.092, 0.101)"
Derm,phecode_660-7,Pilonidal cyst,"0.668 (0.636, 0.711)","0.645 (0.615, 0.686)","-0.02 (-0.084, 0.023)"
Derm,phecode_661,Viral exanthemata NOS,"0.527 (0.502, 0.581)","0.59 (0.555, 0.625)","0.06 (-0.004, 0.099)"
Derm,phecode_662,Rosacea,"0.592 (0.579, 0.605)","0.699 (0.686, 0.714)","0.106 (0.09, 0.126)"
Derm,phecode_663,Bullous disorders,"0.759 (0.725, 0.786)","0.775 (0.751, 0.806)","0.022 (-0.017, 0.06)"
Derm,phecode_663-6,Acantholytic Disorders*,"0.832 (0.794, 0.86)","0.883 (0.851, 0.911)","0.054 (0.018, 0.086)"
Derm,phecode_664,Papulosquamous disorders,"0.609 (0.59, 0.634)","0.692 (0.665, 0.709)","0.082 (0.049, 0.103)"
Derm,phecode_664-1,"Lichen planus, nitidus, or striatus","0.69 (0.666, 0.711)","0.728 (0.697, 0.754)","0.037 (0.009, 0.068)"
Derm,phecode_664-2,Pityriasis,"0.719 (0.681, 0.757)","0.635 (0.589, 0.681)","-0.083 (-0.149, -0.035)"
Derm,phecode_664-21,Pityriasis rosea,"0.723 (0.662, 0.76)","0.653 (0.59, 0.702)","-0.06 (-0.131, -0.015)"
Derm,phecode_665,Psoriasis,"0.55 (0.537, 0.562)","0.633 (0.616, 0.645)","0.083 (0.067, 0.099)"
Derm,phecode_665-1,Psoriasis vulgaris*,"0.586 (0.549, 0.619)","0.828 (0.796, 0.852)","0.24 (0.205, 0.286)"
Derm,phecode_665-2,Psoriatic arthropathy,"0.561 (0.536, 0.587)","0.741 (0.707, 0.762)","0.179 (0.142, 0.224)"
Derm,phecode_666,Urticaria,"0.617 (0.607, 0.632)","0.637 (0.623, 0.651)","0.021 (-0.003, 0.037)"
Derm,phecode_666-1,Allergic urticaria,"0.574 (0.534, 0.607)","0.638 (0.605, 0.681)","0.065 (0.012, 0.123)"
Derm,phecode_666-2,Idiopathic urticaria,"0.663 (0.641, 0.686)","0.697 (0.651, 0.725)","0.032 (-0.023, 0.077)"
Derm,phecode_666-4,Dermatographic urticaria,"0.622 (0.581, 0.655)","0.706 (0.672, 0.746)","0.085 (0.026, 0.154)"
Derm,phecode_667,Erythematous conditions,"0.557 (0.543, 0.568)","0.672 (0.66, 0.684)","0.115 (0.105, 0.13)"
Derm,phecode_668,Dermatitis [eczema],"0.551 (0.546, 0.556)","0.647 (0.643, 0.654)","0.096 (0.092, 0.103)"
Derm,phecode_668-1,Atopic dermatitis,"0.54 (0.524, 0.558)","0.654 (0.641, 0.669)","0.114 (0.086, 0.136)"
Derm,phecode_668-2,Seborrheic dermatitis,"0.506 (0.501, 0.515)","0.657 (0.646, 0.666)","0.15 (0.134, 0.164)"
Derm,phecode_668-3,Contact dermatitis,"0.566 (0.557, 0.575)","0.657 (0.647, 0.664)","0.091 (0.081, 0.101)"
Derm,phecode_668-4,Dermatitis due to substances taken internally,"0.551 (0.534, 0.571)","0.686 (0.666, 0.702)","0.135 (0.109, 0.156)"
Derm,phecode_668-5,Lichen simplex chronicus,"0.623 (0.607, 0.636)","0.71 (0.696, 0.721)","0.087 (0.07, 0.109)"
Derm,phecode_668-6,Prurigo,"0.583 (0.575, 0.591)","0.674 (0.666, 0.681)","0.092 (0.082, 0.1)"
